Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,1990,1990,1990,1943.52,1990
2,2250,2307.27,2307.27,2258.18,2298.41
3,2580,2624.55,2624.55,2572.85,2606.82
4,2790,2941.82,2941.82,2887.51,2915.23
5,3140,3259.09,3259.09,3202.17,3223.64
6,3460,3576.36,3576.36,3516.84,3532.05
1,3860,3893.64,3893.64,3831.5,3840.46
2,4120,4210.91,4210.91,4146.16,4148.87
3,4520,4528.18,4528.18,4460.82,4457.28
4,4810,4845.45,4845.45,4775.49,4765.69
5,5090,5162.73,5162.73,5090.15,5074.1
6,5480,5480,5480,5404.81,5382.51
1,6000,6050.11,6063.73,6044.35,5999.33
2,6330,6364.92,6376.76,6359.02,6307.74
3,6690,6679.74,6689.78,6673.68,6616.16
4,7000,6994.56,7002.81,6988.34,6924.57
5,7270,7309.37,7315.84,7303.01,7232.98
6,7630,7624.19,7628.86,7617.67,7541.39
1,7980,7939.01,7941.89,7932.33,7849.8
2,8250,8253.83,8254.92,8246.99,8158.21
3,8560,8568.64,8567.94,8561.66,8466.62
4,8880,8883.46,8880.97,8876.32,8775.03
5,9180,9198.28,9194,9190.98,9083.44
6,9530,9513.09,9507.03,9505.65,9391.85
1,10110,10104.6,10117.6,10105.9,10008.7
2,10410,10416.1,10427.4,10417.3,10317.1
3,10740,10727.6,10737.2,10728.6,10625.5
4,11050,11039.1,11047,11040,10933.9
5,11290,11350.6,11356.8,11351.3,11242.3
6,11660,11662.1,11666.6,11662.7,11550.7
1,12020,11973.6,11976.3,11974,11859.1
2,12300,12285.1,12286.1,12285.4,12167.5
3,12630,12596.6,12595.9,12596.7,12476
4,12880,12908.1,12905.7,12908,12784.4
5,13200,13219.6,13215.5,13219.4,13092.8
6,13530,13531.1,13525.3,13530.7,13401.2
1,14090,14116.7,14127.7,14130,14018
2,14390,14428.9,14438.5,14439.7,14326.4
3,14750,14741.1,14749.3,14749.4,14634.8
4,15070,15053.3,15060,15059.1,14943.2
5,15360,15365.5,15370.8,15368.8,15251.6
6,15690,15677.7,15681.5,15678.5,15560.1
1,16040,15989.9,15992.3,15988.2,15868.5
2,16360,16302.1,16303,16297.9,16176.9
3,16610,16614.3,16613.8,16607.6,16485.3
