Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,1990,1990,1990,1949.39,1990
2,2230,2288.18,2288.18,2247.53,2282.49
3,2530,2586.36,2586.36,2545.67,2574.97
4,2830,2884.55,2884.55,2843.81,2867.46
5,3060,3182.73,3182.73,3141.95,3159.95
6,3310,3480.91,3480.91,3440.1,3452.43
1,3770,3779.09,3779.09,3738.24,3744.92
2,4070,4077.27,4077.27,4036.38,4037.4
3,4380,4375.45,4375.45,4334.52,4329.89
4,4700,4673.64,4673.64,4632.66,4622.38
5,4930,4971.82,4971.82,4930.8,4914.86
6,5270,5270,5270,5228.94,5207.35
1,5810,5846.17,5850.41,5836.89,5792.32
2,6150,6143,6146.68,6135.03,6084.81
3,6450,6439.83,6442.96,6433.17,6377.3
4,6760,6736.66,6739.23,6731.31,6669.78
5,6990,7033.49,7035.5,7029.45,6962.27
6,7320,7330.32,7331.77,7327.6,7254.76
1,7660,7627.15,7628.05,7625.74,7547.24
2,7940,7923.98,7924.32,7923.88,7839.73
3,8200,8220.81,8220.59,8222.02,8132.21
4,8510,8517.64,8516.86,8520.16,8424.7
5,8810,8814.47,8813.14,8818.3,8717.19
6,9120,9111.3,9109.41,9116.44,9009.67
1,9690,9685.46,9690.79,9680.17,9594.65
2,9980,9978.39,9983.02,9973.93,9887.13
3,10290,10271.3,10275.2,10267.7,10179.6
4,10570,10564.2,10567.5,10561.4,10472.1
5,10800,10857.2,10859.7,10855.2,10764.6
6,11150,11150.1,11151.9,11149,11057.1
1,11460,11443,11444.2,11442.7,11349.6
2,11730,11735.9,11736.4,11736.5,11642.1
3,12020,12028.9,12028.6,12030.2,11934.5
4,12330,12321.8,12320.8,12324,12227
5,12600,12614.7,12613.1,12617.7,12519.5
6,12930,12907.7,12905.3,12911.5,12812
1,13480,13466.3,13472.5,13459.5,13397
2,13750,13758.2,13763.6,13752.3,13689.5
3,14020,14050.1,14054.7,14045.1,13981.9
4,14350,14342,14345.8,14337.9,14274.4
5,14620,14633.9,14636.9,14630.8,14566.9
6,14920,14925.9,14928,14923.6,14859.4
1,15230,15217.8,15219.1,15216.4,15151.9
2,15510,15509.7,15510.2,15509.2,15444.4
3,15790,15801.6,15801.2,15802.1,15736.9
4,16100,16093.5,16092.3,16094.9,16029.3
5,16380,16385.4,16383.4,16387.7,16321.8
6,16690,16677.3,16674.5,16680.5,16614.3
1,17220,17247.2,17260.2,17249.5,17199.3
2,17530,17541.1,17551.4,17543.2,17491.8
3,17820,17835,17842.6,17837,17784.3
4,18160,18128.9,18133.8,18130.7,18076.8
5,18410,18422.8,18425.1,18424.4,18369.2
6,18730,18716.7,18716.3,18718.1,18661.7
1,19020,19010.7,19007.5,19011.9,18954.2
2,19320,19304.6,19298.7,19305.6,19246.7
3,19600,19598.5,19590,19599.3,19539.2
4,19890,19892.4,19881.2,19893,19831.7
5,20200,20186.3,20172.4,20186.8,20124.2
6,20480,20480.2,20463.6,20480.5,20416.6
1,21050,21046,21052.2,21048.1,21001.6
2,21350,21339.6,21343.6,21341.6,21294.1
3,21660,21633.1,21635,21635.1,21586.6
4,21940,21926.6,21926.4,21928.7,21879.1
5,22190,22220.2,22217.9,22222.2,22171.6
6,22510,22513.7,22509.3,22515.7,22464
1,22830,22807.3,22800.7,22809.3,22756.5
2,23110,23100.8,23092.1,23102.8,23049
3,23390,23394.4,23383.5,23396.3,23341.5
4,23690,23687.9,23674.9,23689.9,23634
5,23960,23981.4,23966.3,23983.4,23926.5
6,24270,24275,24257.7,24276.9,24219
1,24810,24837.7,24844.6,24848.7,24803.9
2,25120,25131.4,25136.2,25140.3,25096.4
3,25420,25425.2,25427.7,25431.9,25388.9
4,25760,25718.9,25719.3,25723.5,25681.4
5,26000,26012.6,26010.8,26015.1,25973.9
6,26310,26306.4,26302.4,26306.7,26266.4
1,26640,26600.1,26593.9,26598.3,26558.9
2,26870,26893.8,26885.5,26889.9,26851.3
3,27170,27187.5,27177,27181.5,27143.8
4,27490,27481.3,27468.6,27473.1,27436.3
5,27760,27775,27760.1,27764.7,27728.8
6,28080,28068.7,28051.7,28056.3,28021.3
1,28610,28608,28619,28600.5,28606.3
2,28880,28899.1,28910.1,28891.3,28898.8
3,29140,29190.2,29201.2,29182.1,29191.2
4,29470,29481.3,29492.3,29472.9,29483.7
5,29750,29772.4,29783.4,29763.8,29776.2
6,30050,30063.5,30074.5,30054.6,30068.7
1,30370,30354.6,30365.6,30345.4,30361.2
2,30650,30645.7,30656.7,30636.2,30653.7
3,30920,30936.8,30947.8,30927.1,30946.2
4,31230,31227.9,31238.9,31217.9,31238.6
5,31520,31519,31530,31508.7,31531.1
6,31810,31810.1,31821.1,31799.5,31823.6
1,32350,32367.5,32389.3,32365,32408.6
2,32650,32659.2,32680,32656.8,32701.1
3,32940,32950.9,32970.7,32948.6,32993.6
4,33270,33242.7,33261.4,33240.4,33286
5,33530,33534.4,33552.1,33532.3,33578.5
6,33790,33826.1,33842.8,33824.1,33871
1,34120,34117.8,34133.5,34115.9,34163.5
2,34400,34409.5,34424.2,34407.7,34456
3,34700,34701.2,34714.9,34699.6,34748.5
4,35000,34992.9,35005.6,34991.4,35041
5,35290,35284.6,35296.3,35283.2,35333.5
6,35600,35576.4,35587,35575,35625.9
1,36130,36135,36158.8,36124.5,36210.9
2,36430,36427.6,36449.3,36418.8,36503.4
3,36730,36720.1,36739.7,36713.2,36795.9
4,37010,37012.7,37030.2,37007.5,37088.4
5,37270,37305.3,37320.6,37301.8,37380.9
6,37580,37597.9,37611,37596.2,37673.3
1,37890,37890.5,37901.5,37890.5,37965.8
2,38170,38183.1,38191.9,38184.8,38258.3
3,38480,38475.7,38482.4,38479.2,38550.8
4,38790,38768.3,38772.8,38773.5,38843.3
5,39070,39060.9,39063.3,39067.9,39135.8
6,39370,39353.4,39353.7,39362.2,39428.3
2,39960,39935.7,39954.7,39946,40013.2
1,40220,40233,40245.7,40242.8,40305.7
3,40530,40530.4,40536.8,40539.6,40598.2
5,40820,40827.7,40827.9,40836.4,40890.7
4,41170,41125,41119,41133.2,41183.2
6,41410,41422.4,41410.1,41429.9,41475.7
2,41700,41719.7,41701.2,41726.7,41768.2
3,42020,42017.1,41992.3,42023.5,42060.6
1,42270,42314.4,42283.4,42320.3,42353.1
4,42650,42611.7,42574.4,42617.1,42645.6
5,42950,42909.1,42865.5,42913.9,42938.1
6,43240,43206.4,43156.6,43210.7,43230.6
3,43800,43772.4,43770.6,43781.1,43815.6
2,44100,44070.5,44062.7,44078.2,44108
4,44380,44368.6,44354.7,44375.2,44400.5
1,44650,44666.7,44646.8,44672.3,44693
5,44900,44964.8,44938.8,44969.4,44985.5
6,45260,45262.9,45230.9,45266.5,45278
3,45550,45560.9,45523,45563.5,45570.5
4,45870,45859,45815,45860.6,45863
2,46220,46157.1,46107.1,46157.7,46155.4
5,46480,46455.2,46399.1,46454.8,46447.9
1,46770,46753.3,46691.2,46751.8,46740.4
6,47000,47051.4,46983.3,47048.9,47032.9
4,47670,47616.1,47602.5,47626.6,47617.9
3,47950,47914,47895.7,47923.1,47910.4
5,48200,48212,48188.8,48219.6,48202.9
2,48510,48509.9,48481.9,48516.2,48495.3
1,48780,48807.8,48775,48812.7,48787.8
6,49080,49105.7,49068.1,49109.2,49080.3
4,49400,49403.6,49361.2,49405.8,49372.8
5,49690,49701.6,49654.3,49702.3,49665.3
3,50000,49999.5,49947.5,49998.8,49957.8
1,50320,50297.4,50240.6,50295.4,50250.3
2,50590,50595.3,50533.7,50591.9,50542.7
6,50900,50893.2,50826.8,50888.4,50835.2
5,51440,51446.2,51436.4,51451.7,51420.2
4,51740,51743.9,51730.3,51747.8,51712.7
1,52040,52041.7,52024.1,52043.8,52005.2
3,52340,52339.4,52318,52339.9,52297.7
2,52650,52637.1,52611.8,52635.9,52590.1
6,52890,52934.8,52905.7,52932,52882.6
5,53190,53232.5,53199.5,53228,53175.1
1,53530,53530.3,53493.4,53524.1,53467.6
4,53790,53828,53787.2,53820.1,53760.1
2,54160,54125.7,54081,54116.2,54052.6
3,54440,54423.4,54374.9,54412.2,54345.1
6,54750,54721.2,54668.7,54708.3,54637.6
1,55270,55278.2,55272.1,55279.1,55222.5
5,55560,55574.9,55566.4,55575.6,55515
2,55910,55871.6,55860.7,55872.1,55807.5
4,56220,56168.2,56155,56168.7,56100
3,56470,56464.9,56449.3,56465.2,56392.5
6,56740,56761.6,56743.7,56761.7,56685
1,57040,57058.3,57038,57058.3,56977.4
2,57350,57354.9,57332.3,57354.8,57269.9
5,57620,57651.6,57626.6,57651.3,57562.4
3,57950,57948.3,57920.9,57947.9,57854.9
4,58240,58244.9,58215.2,58244.4,58147.4
6,58550,58541.6,58509.5,58540.9,58439.9
2,59100,59106.5,59110.2,59105.9,59024.9
1,59390,59404.1,59404.9,59403.9,59317.3
5,59670,59701.8,59699.6,59702,59609.8
4,60040,59999.4,59994.3,60000,59902.3
3,60350,60297.1,60288.9,60298,60194.8
6,60600,60594.7,60583.6,60596,60487.3
2,60860,60892.3,60878.3,60894,60779.8
5,61200,61190,61173,61192,61072.3
1,61470,61487.6,61467.7,61490,61364.7
3,61770,61785.3,61762.4,61788,61657.2
4,62100,62082.9,62057.1,62086.1,61949.7
6,62390,62380.6,62351.8,62384.1,62242.2
5,63010,62959,62962.8,62968.6,62827.2
2,63290,63258.5,63258.1,63267.6,63119.7
3,63560,63558,63553.4,63566.7,63412.1
1,63840,63857.5,63848.8,63865.7,63704.6
4,64170,64157,64144.1,64164.8,63997.1
6,64390,64456.5,64439.5,64463.8,64289.6
5,64770,64756,64734.8,64762.9,64582.1
3,65050,65055.5,65030.2,65061.9,64874.6
2,65410,65355,65325.5,65360.9,65167.1
