Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,1990,1990,1990,1995.96,1990
2,2280,2314.55,2314.55,2310.03,2296.51
3,2680,2639.09,2639.09,2624.09,2603.02
4,2920,2963.64,2963.64,2938.16,2909.53
5,3220,3288.18,3288.18,3252.23,3216.04
6,3470,3612.73,3612.73,3566.3,3522.54
1,3890,3937.27,3937.27,3880.37,3829.05
2,4150,4261.82,4261.82,4194.44,4135.56
3,4510,4586.36,4586.36,4508.5,4442.07
4,4830,4910.91,4910.91,4822.57,4748.58
5,5180,5235.45,5235.45,5136.64,5055.09
6,5560,5560,5560,5450.71,5361.6
1,6070,6103.65,6125.67,6092.62,5974.61
2,6380,6417.67,6436.8,6406.69,6281.12
3,6680,6731.7,6747.93,6720.76,6587.63
4,7020,7045.72,7059.05,7034.83,6894.14
5,7330,7359.74,7370.18,7348.9,7200.65
6,7700,7673.76,7681.31,7662.97,7507.16
1,8020,7987.79,7992.44,7977.03,7813.67
2,8310,8301.81,8303.57,8291.1,8120.18
3,8590,8615.83,8614.7,8605.17,8426.69
4,8910,8929.85,8925.83,8919.24,8733.19
5,9240,9243.88,9236.96,9233.31,9039.7
6,9590,9557.9,9548.09,9547.38,9346.21
1,10130,10125,10143.6,10149.7,9959.23
2,10430,10440.7,10456.8,10460.8,10265.7
3,10710,10756.4,10770.1,10772,10572.2
4,11090,11072,11083.3,11083.1,10878.8
5,11400,11387.7,11396.5,11394.2,11185.3
6,11730,11703.4,11709.8,11705.3,11491.8
1,12050,12019.1,12023,12016.4,11798.3
2,12330,12334.8,12336.3,12327.5,12104.8
3,12640,12650.5,12649.5,12638.6,12411.3
4,12930,12966.1,12962.7,12949.7,12717.8
5,13270,13281.8,13276,13260.8,13024.3
6,13620,13597.5,13589.2,13571.9,13330.8
1,14150,14145.9,14171.4,14171.1,13943.8
2,14450,14461.7,14483.9,14482,14250.4
3,14740,14777.5,14796.3,14792.9,14556.9
4,15070,15093.3,15108.8,15103.7,14863.4
5,15410,15409.1,15421.3,15414.6,15169.9
6,15780,15724.9,15733.7,15725.4,15476.4
1,16070,16040.7,16046.2,16036.3,15782.9
2,16360,16356.6,16358.6,16347.1,16089.4
3,16640,16672.4,16671.1,16658,16395.9
4,16960,16988.2,16983.6,16968.8,16702.4
5,17290,17304,17296,17279.7,17008.9
6,17650,17619.8,17608.5,17590.5,17315.4
1,18210,18178.6,18218,18211.9,17928.5
2,18510,18493.7,18530,18521.5,18235
3,18810,18808.8,18842,18831.2,18541.5
4,19120,19123.9,19154.1,19140.8,18848
5,19440,19439,19466.1,19450.5,19154.5
6,19760,19754.1,19778.1,19760.2,19461
1,20120,20069.2,20090.1,20069.8,19767.5
2,20400,20384.2,20402.1,20379.5,20074
3,20660,20699.3,20714.1,20689.2,20380.5
4,21010,21014.4,21026.1,20998.8,20687
5,21280,21329.5,21338.1,21308.5,20993.5
6,21660,21644.6,21650.1,21618.1,21300.1
1,22190,22187.4,22238.5,22207.7,21913.1
2,22500,22500.3,22549.4,22516.2,22219.6
3,22790,22813.2,22860.4,22824.6,22526.1
4,23120,23126,23171.4,23133.1,22832.6
5,23420,23438.9,23482.3,23441.5,23139.1
6,23750,23751.8,23793.3,23749.9,23445.6
1,24100,24064.7,24104.3,24058.4,23752.1
2,24390,24377.5,24415.2,24366.8,24058.6
3,24670,24690.4,24726.2,24675.3,24365.1
4,25010,25003.3,25037.2,24983.7,24671.7
5,25310,25316.2,25348.1,25292.1,24978.2
6,25600,25629,25659.1,25600.6,25284.7
1,26230,26186.2,26245.9,26204.9,25897.7
2,26490,26498.8,26555.8,26514.3,26204.2
3,26800,26811.3,26865.8,26823.8,26510.7
4,27080,27123.9,27175.7,27133.2,26817.2
5,27410,27436.5,27485.7,27442.6,27123.7
6,27770,27749.1,27795.6,27752,27430.2
1,28130,28061.6,28105.5,28061.4,27736.7
2,28420,28374.2,28415.5,28370.8,28043.2
3,28670,28686.8,28725.4,28680.2,28349.8
4,28970,28999.4,29035.3,28989.6,28656.3
5,29280,29311.9,29345.3,29299,28962.8
6,29630,29624.5,29655.2,29608.4,29269.3
2,30280,30194,30250.6,30224.1,29882.3
1,30530,30506.8,30559.8,30532.6,30188.8
3,30790,30819.6,30869,30841.1,30495.3
5,31130,31132.5,31178.2,31149.6,30801.8
4,31420,31445.3,31487.4,31458.1,31108.3
6,31750,31758.2,31796.6,31766.6,31414.8
2,32140,32071,32105.8,32075.1,31721.4
3,32410,32383.9,32415.1,32383.6,32027.9
1,32640,32696.7,32724.3,32692.1,32334.4
4,33000,33009.5,33033.5,33000.6,32640.9
5,33320,33322.4,33342.7,33309.1,32947.4
6,33640,33635.2,33651.9,33617.6,33253.9
3,34240,34189.1,34240.9,34203.2,33866.9
2,34560,34500.4,34549.3,34511.7,34173.4
4,34780,34811.6,34857.6,34820.2,34479.9
1,35100,35122.9,35166,35128.7,34786.4
5,35350,35434.2,35474.3,35437.2,35093
6,35740,35745.4,35782.7,35745.7,35399.5
3,36070,36056.7,36091,36054.3,35706
4,36370,36368,36399.4,36362.8,36012.5
2,36680,36679.2,36707.7,36671.3,36319
5,36980,36990.5,37016.1,36979.8,36625.5
1,37320,37301.8,37324.4,37288.3,36932
6,37610,37613,37632.8,37596.8,37238.5
4,38240,38189.8,38236.6,38217.4,37851.5
3,38550,38502,38544.5,38525.9,38158
5,38820,38814.2,38852.5,38834.4,38464.5
2,39130,39126.4,39160.5,39142.9,38771.1
1,39440,39438.6,39468.5,39451.4,39077.6
6,39720,39750.8,39776.5,39759.9,39384.1
4,40060,40063,40084.4,40068.4,39690.6
5,40380,40375.2,40392.4,40376.9,39997.1
3,40680,40687.4,40700.4,40685.4,40303.6
1,41010,40999.7,41008.4,40993.9,40610.1
2,41320,41311.9,41316.3,41302.4,40916.6
6,41620,41624.1,41624.3,41610.9,41223.1
5,42190,42182.5,42223.6,42208.9,41836.1
4,42480,42493.9,42531.1,42515.2,42142.7
1,42810,42805.2,42838.6,42821.4,42449.2
3,43130,43116.5,43146.1,43127.7,42755.7
2,43420,43427.8,43453.6,43434,43062.2
6,43700,43739.1,43761.2,43740.2,43368.7
5,44100,44050.4,44068.7,44046.5,43675.2
1,44340,44361.7,44376.2,44352.7,43981.7
4,44670,44673,44683.7,44659,44288.2
2,44990,44984.3,44991.2,44965.2,44594.7
3,45280,45295.6,45298.7,45271.5,44901.2
6,45610,45607,45606.2,45577.7,45207.7
1,46140,46156.3,46194.9,46165.3,45820.8
5,46470,46464.8,46501.6,46471.5,46127.3
2,46800,46773.3,46808.4,46777.6,46433.8
4,47070,47081.8,47115.1,47083.8,46740.3
3,47390,47390.3,47421.8,47389.9,47046.8
6,47690,47698.8,47728.6,47696.1,47353.3
1,48020,48007.3,48035.3,48002.2,47659.8
2,48320,48315.9,48342,48308.4,47966.3
5,48630,48624.4,48648.8,48614.6,48272.8
3,48880,48932.9,48955.5,48920.7,48579.3
4,49220,49241.4,49262.2,49226.9,48885.8
6,49560,49549.9,49569,49533,49192.4
2,50150,50120.2,50164.6,50132.8,49805.4
1,50450,50429.9,50470.8,50440.6,50111.9
5,50720,50739.6,50777.1,50748.4,50418.4
4,51030,51049.2,51083.3,51056.3,50724.9
3,51350,51358.9,51389.5,51364.1,51031.4
6,51660,51668.6,51695.7,51671.9,51337.9
2,51950,51978.3,52002,51979.7,51644.4
5,52310,52288,52308.2,52287.6,51950.9
1,52620,52597.6,52614.4,52595.4,52257.4
3,52940,52907.3,52920.7,52903.2,52564
4,53200,53217,53226.9,53211.1,52870.5
6,53530,53526.7,53533.1,53518.9,53177
5,54140,54106.7,54143.9,54126.8,53790
2,54450,54417.9,54450.1,54435.6,54096.5
3,54720,54729.2,54756.3,54744.3,54403
1,55040,55040.4,55062.5,55053.1,54709.5
4,55330,55351.7,55368.7,55361.9,55016
6,55630,55662.9,55674.9,55670.6,55322.5
5,56030,55974.2,55981.1,55979.4,55629
3,56320,56285.4,56287.3,56288.1,55935.6
2,56610,56596.7,56593.4,56596.9,56242.1
4,56900,56907.9,56899.6,56905.7,56548.6
1,57230,57219.1,57205.8,57214.4,56855.1
6,57500,57530.4,57512,57523.2,57161.6
3,58120,58108.5,58131.7,58126.2,57774.6
5,58460,58419.6,58438.1,58435.2,58081.1
4,58750,58730.8,58744.6,58744.3,58387.6
2,59060,59042,59051,59053.3,58694.1
1,59390,59353.1,59357.4,59362.3,59000.6
6,59650,59664.3,59663.8,59671.3,59307.1
3,59960,59975.4,59970.2,59980.3,59613.7
4,60300,60286.6,60276.7,60289.4,59920.2
5,60610,60597.7,60583.1,60598.4,60226.7
1,60880,60908.9,60889.5,60907.4,60533.2
2,61200,61220,61195.9,61216.4,60839.7
6,61530,61531.2,61502.3,61525.4,61146.2
4,62160,62112.1,62128.4,62136.8,61759.2
3,62470,62423.9,62435.2,62445,62065.7
1,62730,62735.6,62742,62753.1,62372.2
5,63030,63047.3,63048.9,63061.3,62678.7
2,63330,63359,63355.7,63369.4,62985.3
6,63650,63670.7,63662.5,63677.6,63291.8
4,64010,63982.5,63969.3,63985.7,63598.3
1,64300,64294.2,64276.2,64293.9,63904.8
3,64630,64605.9,64583,64602,64211.3
2,64920,64917.6,64889.8,64910.2,64517.8
5,65200,65229.4,65196.6,65218.3,64824.3
6,65550,65541.1,65503.5,65526.5,65130.8
1,66120,66106.8,66119.5,66122.2,65743.8
4,66430,66416.7,66426.4,66429.1,66050.3
3,66750,66726.5,66733.3,66736,66356.9
5,67080,67036.4,67040.2,67042.8,66663.4
2,67280,67346.3,67347.1,67349.7,66969.9
6,67630,67656.2,67654,67656.6,67276.4
1,67960,67966,67960.9,67963.4,67582.9
3,68280,68275.9,68267.8,68270.3,67889.4
4,68570,68585.8,68574.7,68577.2,68195.9
2,68920,68895.7,68881.6,68884,68502.4
5,69190,69205.5,69188.5,69190.9,68808.9
6,69510,69515.4,69495.4,69497.8,69115.4
3,70120,70083.6,70103.3,70091,69728.4
1,70400,70392.7,70410,70398.6,70035
4,70640,70701.9,70716.8,70706.1,70341.5
5,71030,71011,71023.5,71013.7,70648
2,71330,71320.2,71330.3,71321.2,70954.5
6,71590,71629.3,71637,71628.7,71261
3,71950,71938.4,71943.8,71936.3,71567.5
4,72250,72247.6,72250.5,72243.8,71874
1,72550,72556.7,72557.2,72551.3,72180.5
2,72860,72865.8,72864,72858.9,72487
5,73170,73175,73170.7,73166.4,72793.5
6,73500,73484.1,73477.5,73474,73100
4,74080,74066.6,74091.4,74079.3,73713.1
3,74380,74377.2,74398.2,74388.2,74019.6
2,74710,74687.8,74705,74697.1,74326.1
1,74950,74998.4,75011.8,75006,74632.6
5,75290,75308.9,75318.5,75315,74939.1
6,75620,75619.5,75625.3,75623.9,75245.6
4,75970,75930.1,75932.1,75932.8,75552.1
2,76260,76240.7,76238.9,76241.7,75858.6
