Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,1990,1990,1990,2060.25,1990
2,2230,2259.33,2259.33,2321.72,2242.84
3,2580,2528.67,2528.67,2583.19,2495.68
4,2880,2798,2798,2844.65,2748.51
5,3190,3067.33,3067.33,3106.12,3001.35
6,3390,3336.67,3336.67,3367.58,3254.19
7,3750,3606,3606,3629.05,3507.03
8,4000,3875.33,3875.33,3890.52,3759.86
1,4040,4144.67,4144.67,4151.98,4012.7
2,4340,4414,4414,4413.45,4265.54
3,4590,4683.33,4683.33,4674.92,4518.38
4,4910,4952.67,4952.67,4936.38,4771.21
5,5210,5222,5222,5197.85,5024.05
6,5470,5491.33,5491.33,5459.31,5276.89
7,5740,5760.67,5760.67,5720.78,5529.73
8,6030,6030,6030,5982.25,5782.56
1,6530,6542.5,6549.33,6524.63,6288.24
2,6760,6801.89,6808.05,6786.09,6541.08
3,7070,7061.27,7066.78,7047.56,6793.91
4,7350,7320.66,7325.5,7309.03,7046.75
5,7580,7580.05,7584.23,7570.49,7299.59
6,7820,7839.43,7842.95,7831.96,7552.43
7,8140,8098.82,8101.67,8093.43,7805.26
8,8340,8358.2,8360.4,8354.89,8058.1
1,8610,8617.59,8619.12,8616.36,8310.94
2,8830,8876.98,8877.85,8877.82,8563.78
3,9160,9136.36,9136.57,9139.29,8816.62
4,9410,9395.75,9395.29,9400.76,9069.45
5,9670,9655.13,9654.02,9662.22,9322.29
6,9830,9914.52,9912.74,9923.69,9575.13
7,10220,10173.9,10171.5,10185.2,9827.97
8,10450,10433.3,10430.2,10446.6,10080.8
1,11000,10962,10957.4,10954.3,10586.5
2,11150,11220.6,11216.5,11214.1,10839.3
3,11470,11479.2,11475.5,11473.8,11092.2
4,11730,11737.9,11734.6,11733.6,11345
5,12030,11996.5,11993.6,11993.4,11597.8
6,12220,12255.1,12252.7,12253.1,11850.7
7,12520,12513.7,12511.8,12512.9,12103.5
8,12860,12772.3,12770.8,12772.6,12356.3
1,13090,13030.9,13029.9,13032.4,12609.2
2,13310,13289.5,13288.9,13292.1,12862
3,13530,13548.2,13548,13551.9,13114.9
4,13770,13806.8,13807,13811.6,13367.7
5,14010,14065.4,14066.1,14071.4,13620.5
