Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,2000,2000,2000,2222.57,2000
2,2340,2312.67,2312.67,2507.15,2273.78
3,2630,2625.33,2625.33,2791.72,2547.55
4,2960,2938,2938,3076.29,2821.33
5,3370,3250.67,3250.67,3360.87,3095.11
6,3680,3563.33,3563.33,3645.44,3368.88
7,4010,3876,3876,3930.01,3642.66
8,4230,4188.67,4188.67,4214.59,3916.44
1,4450,4501.33,4501.33,4499.16,4190.21
2,4770,4814,4814,4783.74,4463.99
3,5090,5126.67,5126.67,5068.31,4737.77
4,5520,5439.33,5439.33,5352.88,5011.54
5,5810,5752,5752,5637.46,5285.32
6,5920,6064.67,6064.67,5922.03,5559.1
7,6240,6377.33,6377.33,6206.6,5832.87
8,6690,6690,6690,6491.18,6106.65
1,7270,7160.42,7201.41,7083.2,6654.2
2,7360,7436.5,7473.51,7367.77,6927.98
3,7560,7712.58,7745.61,7652.35,7201.75
4,7890,7988.65,8017.72,7936.92,7475.53
5,8210,8264.73,8289.82,8221.49,7749.31
6,8500,8540.8,8561.92,8506.07,8023.08
7,8790,8816.88,8834.02,8790.64,8296.86
8,9050,9092.95,9106.12,9075.21,8570.64
1,9420,9369.03,9378.23,9359.79,8844.41
2,9740,9645.11,9650.33,9644.36,9118.19
3,9950,9921.18,9922.43,9928.93,9391.97
4,10210,10197.3,10194.5,10213.5,9665.74
5,10480,10473.3,10466.6,10498.1,9939.52
6,10730,10749.4,10738.7,10782.7,10213.3
7,10980,11025.5,11010.8,11067.2,10487.1
8,11340,11301.6,11282.9,11351.8,10760.9
1,11960,11880.1,11869.6,11878.3,11308.4
2,12170,12160.3,12150.8,12159.6,11582.2
3,12420,12440.5,12432.1,12440.9,11856
4,12780,12720.7,12713.3,12722.3,12129.7
5,13080,13001,12994.5,13003.6,12403.5
6,13280,13281.2,13275.8,13284.9,12677.3
7,13600,13561.4,13557,13566.2,12951.1
8,13830,13841.7,13838.2,13847.5,13224.8
1,14060,14121.9,14119.5,14128.8,13498.6
2,14330,14402.1,14400.7,14410.1,13772.4
3,14590,14682.3,14681.9,14691.4,14046.2
4,14940,14962.6,14963.2,14972.7,14319.9
5,15230,15242.8,15244.4,15254,14593.7
6,15550,15523,15525.6,15535.3,14867.5
7,15830,15803.3,15806.9,15816.6,15141.3
8,16160,16083.5,16088.1,16097.9,15415.1
1,16660,16637.1,16641.5,16645.4,15962.6
2,16870,16917.4,16921.3,16924.4,16236.4
3,17150,17197.6,17201.1,17203.4,16510.2
4,17490,17477.8,17480.9,17482.5,16783.9
5,17800,17758.1,17760.8,17761.5,17057.7
6,18040,18038.3,18040.6,18040.5,17331.5
7,18240,18318.6,18320.4,18319.6,17605.3
8,18590,18598.8,18600.2,18598.6,17879
1,19040,18879,18880,18877.6,18152.8
2,19200,19159.3,19159.8,19156.7,18426.6
3,19380,19439.5,19439.7,19435.7,18700.4
4,19730,19719.7,19719.5,19714.7,18974.1
5,19960,20000,19999.3,19993.8,19247.9
6,20270,20280.2,20279.1,20272.8,19521.7
7,20490,20560.5,20558.9,20551.8,19795.5
8,20900,20840.7,20838.7,20830.9,20069.3
1,21400,21366.7,21368.6,21350.9,20616.8
2,21610,21643.3,21647.5,21628.4,20890.6
3,21830,21919.8,21926.5,21905.8,21164.4
4,22210,22196.3,22205.4,22183.3,21438.1
5,22500,22472.9,22484.3,22460.8,21711.9
6,22710,22749.4,22763.3,22738.2,21985.7
7,23080,23025.9,23042.2,23015.7,22259.5
8,23260,23302.4,23321.2,23293.1,22533.2
1,23590,23579,23600.1,23570.6,22807
2,23820,23855.5,23879.1,23848.1,23080.8
3,24090,24132,24158,24125.5,23354.6
4,24380,24408.5,24437,24403,23628.3
5,24650,24685.1,24715.9,24680.5,23902.1
6,24940,24961.6,24994.8,24957.9,24175.9
7,25230,25238.1,25273.8,25235.4,24449.7
8,25610,25514.7,25552.7,25512.9,24723.5
1,26170,26064.4,26076.4,26047.9,25271
2,26340,26339.6,26354.3,26325.4,25544.8
3,26560,26614.8,26632.2,26602.8,25818.6
4,26900,26890.1,26910.1,26880.2,26092.3
5,27180,27165.3,27188.1,27157.7,26366.1
6,27400,27440.6,27466,27435.1,26639.9
7,27750,27715.8,27743.9,27712.6,26913.7
8,27990,27991,28021.8,27990,27187.4
1,28230,28266.3,28299.7,28267.5,27461.2
2,28520,28541.5,28577.6,28544.9,27735
3,28760,28816.7,28855.5,28822.4,28008.8
4,29100,29092,29133.4,29099.8,28282.6
5,29340,29367.2,29411.3,29377.3,28556.3
6,29630,29642.5,29689.3,29654.7,28830.1
7,29930,29917.7,29967.2,29932.1,29103.9
8,30260,30192.9,30245.1,30209.6,29377.7
1,30760,30751,30771.8,30741.2,29925.2
2,31020,31026.9,31048.9,31018.6,30199
3,31260,31302.8,31325.9,31296,30472.8
4,31630,31578.7,31603,31573.5,30746.5
5,31860,31854.6,31880.1,31850.9,31020.3
6,32140,32130.5,32157.1,32128.3,31294.1
7,32450,32406.4,32434.2,32405.7,31567.9
8,32660,32682.3,32711.2,32683.2,31841.6
1,33020,32958.2,32988.3,32960.6,32115.4
2,33260,33234.1,33265.3,33238,32389.2
3,33420,33510,33542.4,33515.4,32663
4,33750,33785.9,33819.4,33792.9,32936.8
5,34030,34061.8,34096.5,34070.3,33210.5
6,34310,34337.7,34373.6,34347.7,33484.3
7,34590,34613.6,34650.6,34625.1,33758.1
8,34990,34889.5,34927.7,34902.6,34031.9
1,35500,35450.7,35462.3,35439.8,34579.4
2,35760,35725.9,35738.8,35716.9,34853.2
3,35970,36001,36015.2,35994,35127
4,36290,36276.2,36291.7,36271.1,35400.7
5,36560,36551.4,36568.2,36548.2,35674.5
6,36800,36826.6,36844.6,36825.3,35948.3
7,37140,37101.8,37121.1,37102.5,36222.1
8,37360,37376.9,37397.5,37379.6,36495.8
1,37710,37652.1,37674,37656.7,36769.6
2,37950,37927.3,37950.4,37933.8,37043.4
3,38190,38202.5,38226.9,38210.9,37317.2
4,38450,38477.7,38503.3,38488,37591
5,38700,38752.8,38779.8,38765.1,37864.7
6,38990,39028,39056.2,39042.2,38138.5
7,39290,39303.2,39332.7,39319.4,38412.3
8,39630,39578.4,39609.1,39596.5,38686.1
1,40270,40143.2,40145.4,40120.1,39233.6
2,40460,40416.9,40421.3,40397.5,39507.4
3,40640,40690.6,40697.2,40674.9,39781.2
4,40990,40964.4,40973.1,40952.3,40054.9
5,41240,41238.1,41249,41229.7,40328.7
6,41460,41511.8,41524.9,41507.1,40602.5
7,41780,41785.5,41800.8,41784.5,40876.3
8,42020,42059.2,42076.8,42061.9,41150
1,42380,42333,42352.7,42339.3,41423.8
2,42630,42606.7,42628.6,42616.7,41697.6
3,42890,42880.4,42904.5,42894.1,41971.4
4,43110,43154.1,43180.4,43171.6,42245.2
5,43410,43427.9,43456.3,43449,42518.9
6,43700,43701.6,43732.2,43726.4,42792.7
7,43950,43975.3,44008.1,44003.8,43066.5
8,44280,44249,44284,44281.2,43340.3
1,44910,44831.6,44836.3,44816.1,43887.8
2,45140,45107.3,45112.2,45094.8,44161.6
3,45370,45383,45388.1,45373.6,44435.4
4,45720,45658.7,45664,45652.4,44709.1
5,45930,45934.4,45939.9,45931.2,44982.9
6,46160,46210.1,46215.8,46209.9,45256.7
7,46460,46485.8,46491.6,46488.7,45530.5
8,46680,46761.5,46767.5,46767.5,45804.3
1,47130,47037.2,47043.4,47046.3,46078
2,47310,47312.9,47319.3,47325,46351.8
3,47610,47588.6,47595.2,47603.8,46625.6
4,47900,47864.3,47871.1,47882.6,46899.4
5,48130,48140,48147,48161.4,47173.1
6,48420,48415.7,48422.9,48440.1,47446.9
7,48640,48691.4,48698.8,48718.9,47720.7
8,49000,48967.1,48974.7,48997.7,47994.5
1,49580,49552.2,49544.3,49555.8,48542
2,49890,49829,49820.7,49833.1,48815.8
3,50050,50105.7,50097.1,50110.4,49089.6
4,50430,50382.5,50373.5,50387.7,49363.3
5,50720,50659.3,50649.8,50665,49637.1
