Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,1990,1990,1990,2107.78,1990
2,2290,2260.67,2260.67,2370.83,2242.97
3,2580,2531.33,2531.33,2633.88,2495.95
4,2880,2802,2802,2896.92,2748.92
5,3140,3072.67,3072.67,3159.97,3001.89
6,3340,3343.33,3343.33,3423.01,3254.86
7,3650,3614,3614,3686.06,3507.84
8,4000,3884.67,3884.67,3949.1,3760.81
1,4260,4155.33,4155.33,4212.15,4013.78
2,4580,4426,4426,4475.19,4266.76
3,4850,4696.67,4696.67,4738.24,4519.73
4,5130,4967.33,4967.33,5001.28,4772.7
5,5270,5238,5238,5264.33,5025.68
6,5530,5508.67,5508.67,5527.37,5278.65
7,5750,5779.33,5779.33,5790.42,5531.62
8,6050,6050,6050,6053.47,5784.59
1,6680,6644.38,6629.77,6630.28,6290.54
2,6970,6904.92,6891.73,6893.33,6543.51
3,7180,7165.47,7153.7,7156.38,6796.49
4,7460,7426.01,7415.66,7419.42,7049.46
5,7640,7686.56,7677.62,7682.47,7302.43
6,7860,7947.1,7939.58,7945.51,7555.41
7,8200,8207.65,8201.54,8208.56,7808.38
8,8470,8468.19,8463.5,8471.6,8061.35
1,8730,8728.74,8725.46,8734.65,8314.32
2,9040,8989.29,8987.42,8997.69,8567.3
3,9270,9249.83,9249.39,9260.74,8820.27
4,9580,9510.38,9511.35,9523.78,9073.24
5,9760,9770.92,9773.31,9786.83,9326.22
6,9980,10031.5,10035.3,10049.9,9579.19
7,10280,10292,10297.2,10312.9,9832.16
8,10550,10552.6,10559.2,10576,10085.1
1,11030,11082,11072.8,11049.8,10591.1
2,11320,11336.9,11328.6,11308.4,10844.1
3,11560,11591.9,11584.5,11567,11097
4,11850,11846.8,11840.3,11825.6,11350
5,12090,12101.8,12096.1,12084.2,11603
6,12330,12356.7,12352,12342.8,11855.9
7,12680,12611.7,12607.8,12601.5,12108.9
8,12920,12866.6,12863.7,12860.1,12361.9
1,13090,13121.6,13119.5,13118.7,12614.9
2,13370,13376.5,13375.3,13377.3,12867.8
3,13620,13631.5,13631.2,13635.9,13120.8
4,13890,13886.4,13887,13894.5,13373.8
5,14150,14141.4,14142.9,14153.1,13626.8
6,14360,14396.3,14398.7,14411.8,13879.7
7,14630,14651.3,14654.6,14670.4,14132.7
8,14940,14906.2,14910.4,14929,14385.7
1,15460,15436.1,15427.8,15422.7,14891.6
2,15690,15693,15685.5,15681.2,15144.6
3,15920,15949.9,15943.2,15939.8,15397.6
4,16250,16206.8,16200.9,16198.4,15650.5
5,16420,16463.7,16458.7,16456.9,15903.5
6,16650,16720.6,16716.4,16715.5,16156.5
7,16920,16977.5,16974.1,16974,16409.5
8,17260,17234.4,17231.8,17232.6,16662.4
1,17500,17491.3,17489.5,17491.2,16915.4
2,17810,17748.2,17747.2,17749.7,17168.4
3,18040,18005.1,18004.9,18008.3,17421.4
4,18310,18262.1,18262.6,18266.8,17674.3
5,18550,18519,18520.3,18525.4,17927.3
6,18750,18775.9,18778,18784,18180.3
7,19000,19032.8,19035.7,19042.5,18433.2
8,19260,19289.7,19293.4,19301.1,18686.2
1,19780,19818.8,19811,19805.2,19192.2
2,20100,20076,20068.7,20064,19445.1
3,20370,20333.2,20326.5,20322.8,19698.1
4,20580,20590.4,20584.3,20581.6,19951.1
5,20820,20847.5,20842.1,20840.4,20204.1
6,21050,21104.7,21099.8,21099.2,20457
7,21370,21361.9,21357.6,21358,20710
8,21580,21619.1,21615.4,21616.8,20963
1,21920,21876.2,21873.1,21875.7,21215.9
2,22130,22133.4,22130.9,22134.5,21468.9
3,22410,22390.6,22388.7,22393.3,21721.9
4,22700,22647.8,22646.5,22652.1,21974.9
5,22900,22904.9,22904.2,22910.9,22227.8
6,23140,23162.1,23162,23169.7,22480.8
7,23430,23419.3,23419.8,23428.5,22733.8
8,23660,23676.5,23677.5,23687.3,22986.8
