Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,1990,1990,1990,2155.86,1990
2,2240,2241.58,2241.58,2382.19,2210.57
3,2630,2493.16,2493.16,2608.52,2431.15
4,2840,2744.74,2744.74,2834.85,2651.72
5,3060,2996.32,2996.32,3061.18,2872.3
6,3400,3247.89,3247.89,3287.51,3092.87
7,3740,3499.47,3499.47,3513.84,3313.45
8,3900,3751.05,3751.05,3740.17,3534.02
9,4220,4002.63,4002.63,3966.5,3754.6
10,4500,4254.21,4254.21,4192.83,3975.17
1,4140,4505.79,4505.79,4419.17,4195.75
2,4380,4757.37,4757.37,4645.5,4416.32
3,4460,5008.95,5008.95,4871.83,4636.9
4,4830,5260.53,5260.53,5098.16,4857.47
5,5180,5512.11,5512.11,5324.49,5078.04
6,5460,5763.68,5763.68,5550.82,5298.62
7,5810,6015.26,6015.26,5777.15,5519.19
8,6110,6266.84,6266.84,6003.48,5739.77
9,6460,6518.42,6518.42,6229.81,5960.34
10,6780,6770,6770,6456.14,6180.92
3,6770,6927.31,7034.07,6866.86,6622.07
1,6930,7150.07,7248.62,7093.19,6842.64
2,7240,7372.84,7463.17,7319.52,7063.22
4,7520,7595.6,7677.72,7545.85,7283.79
5,7750,7818.37,7892.26,7772.18,7504.37
6,8050,8041.14,8106.81,7998.51,7724.94
7,8230,8263.9,8321.36,8224.84,7945.51
8,8480,8486.67,8535.91,8451.17,8166.09
9,8850,8709.43,8750.46,8677.5,8386.66
10,9240,8932.2,8965,8903.83,8607.24
3,9120,9154.97,9179.55,9130.17,8827.81
1,9300,9377.73,9394.1,9356.5,9048.39
2,9530,9600.5,9608.65,9582.83,9268.96
4,9720,9823.26,9823.2,9809.16,9489.54
5,9990,10046,10037.7,10035.5,9710.11
6,10220,10268.8,10252.3,10261.8,9930.69
7,10410,10491.6,10466.8,10488.2,10151.3
8,10640,10714.3,10681.4,10714.5,10371.8
9,10980,10937.1,10895.9,10940.8,10592.4
10,11360,11159.9,11110.5,11167.1,10813
1,11640,11611.2,11613.2,11628.9,11254.1
2,11910,11835.6,11837.5,11853.3,11474.7
