Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,143720,143746,143726,143749,138602
2,143980,143969,143944,143971,138819
3,144180,144192,144163,144193,139035
4,144370,144414,144382,144415,139252
5,144540,144637,144600,144637,139469
6,144840,144860,144819,144859,139686
7,145110,145083,145038,145081,139903
8,145290,145306,145256,145303,140120
9,145570,145529,145475,145525,140336
10,145740,145752,145694,145747,140553
1,146000,145975,145912,145968,140770
2,146250,146198,146131,146190,140987
3,146470,146421,146350,146412,141204
4,146650,146644,146568,146634,141421
5,146800,146867,146787,146856,141637
6,147040,147090,147006,147078,141854
7,147300,147313,147224,147300,142071
8,147540,147536,147443,147522,142288
9,147710,147759,147662,147744,142505
10,148050,147982,147880,147966,142722
1,148410,148431,148379,148419,143155
2,148680,148651,148600,148640,143372
3,148900,148871,148820,148862,143589
4,149100,149092,149040,149083,143806
5,149240,149312,149261,149305,144023
6,149550,149533,149481,149526,144240
7,149820,149753,149702,149748,144456
8,149970,149973,149922,149970,144673
9,150220,150194,150142,150191,144890
10,150430,150414,150363,150413,145107
1,150610,150634,150583,150634,145324
2,150850,150855,150804,150856,145541
3,151080,151075,151024,151077,145758
4,151250,151295,151244,151299,145974
5,151480,151516,151465,151521,146191
6,151680,151736,151685,151742,146408
7,151990,151957,151906,151964,146625
8,152170,152177,152126,152185,146842
9,152400,152397,152346,152407,147059
10,152640,152618,152567,152628,147275
1,153060,153075,153044,153077,147709
2,153330,153296,153266,153298,147926
3,153530,153518,153487,153519,148143
4,153710,153739,153708,153740,148360
5,153900,153960,153930,153961,148576
6,154190,154182,154151,154182,148793
7,154430,154403,154373,154403,149010
8,154560,154624,154594,154625,149227
9,154870,154845,154816,154846,149444
10,155030,155067,155037,155067,149661
1,155330,155288,155259,155288,149878
2,155590,155509,155480,155509,150094
3,155770,155730,155701,155730,150311
4,155930,155952,155923,155952,150528
5,156150,156173,156144,156173,150745
6,156400,156394,156366,156394,150962
7,156650,156616,156587,156615,151179
8,156810,156837,156809,156836,151395
9,157020,157058,157030,157057,151612
10,157290,157279,157252,157278,151829
1,157740,157730,157707,157726,152263
2,157960,157951,157929,157947,152480
3,158190,158172,158151,158168,152697
4,158410,158392,158373,158389,152913
5,158570,158613,158595,158610,153130
6,158820,158834,158816,158831,153347
7,159070,159054,159038,159052,153564
8,159230,159275,159260,159273,153781
9,159490,159496,159482,159494,153998
10,159610,159716,159703,159715,154214
1,159980,159937,159925,159936,154431
2,160210,160158,160147,160157,154648
3,160440,160378,160369,160378,154865
4,160620,160599,160591,160599,155082
5,160790,160820,160812,160820,155299
6,160980,161040,161034,161041,155515
7,161300,161261,161256,161262,155732
8,161460,161482,161478,161483,155949
9,161680,161702,161700,161704,156166
10,161960,161923,161921,161925,156383
2,162410,162384,162365,162389,156817
1,162610,162604,162586,162608,157033
4,162810,162823,162808,162828,157250
3,163080,163043,163030,163047,157467
6,163300,163262,163251,163266,157684
5,163500,163482,163473,163486,157901
8,163640,163701,163695,163705,158118
7,163930,163921,163916,163924,158334
10,164080,164140,164138,164144,158551
9,164370,164360,164360,164363,158768
1,164620,164579,164581,164582,158985
2,164870,164799,164803,164801,159202
4,165020,165018,165025,165021,159419
6,165250,165238,165247,165240,159636
3,165480,165457,165468,165459,159852
8,165630,165677,165690,165679,160069
5,165900,165896,165912,165898,160286
10,166110,166116,166133,166117,160503
7,166320,166336,166355,166337,160720
9,166520,166555,166577,166556,160937
2,167000,167008,166982,166989,161370
1,167250,167223,167202,167206,161587
6,167490,167438,167423,167423,161804
4,167670,167652,167643,167640,162021
8,167870,167867,167864,167857,162238
3,168080,168082,168084,168074,162455
10,168270,168297,168305,168291,162671
5,168530,168512,168525,168508,162888
9,168690,168727,168746,168725,163105
7,168930,168941,168966,168942,163322
2,169190,169156,169186,169158,163539
6,169420,169371,169407,169375,163756
1,169640,169586,169627,169592,163972
4,169780,169801,169848,169809,164189
3,170050,170016,170068,170026,164406
8,170210,170231,170289,170243,164623
5,170370,170445,170509,170460,164840
10,170640,170660,170730,170677,165057
7,170850,170875,170950,170894,165273
9,171070,171090,171170,171111,165490
6,171570,171554,171558,171550,165924
2,171840,171769,171777,171765,166141
4,171970,171984,171996,171981,166358
1,172230,172199,172215,172196,166575
8,172390,172414,172434,172412,166791
3,172680,172629,172653,172627,167008
10,172840,172843,172871,172843,167225
5,173010,173058,173090,173058,167442
9,173260,173273,173309,173274,167659
7,173440,173488,173528,173489,167876
2,173660,173703,173747,173705,168092
6,173910,173918,173966,173920,168309
1,174150,174133,174184,174136,168526
4,174340,174348,174403,174351,168743
8,174510,174562,174622,174567,168960
10,174850,174777,174841,174782,169177
3,174990,174992,175060,174998,169394
9,175200,175207,175279,175213,169610
5,175440,175422,175497,175429,169827
7,175660,175637,175716,175644,170044
6,176040,176086,176097,176066,170478
2,176290,176300,176314,176281,170695
4,176460,176514,176531,176497,170911
1,176770,176728,176748,176713,171128
10,176910,176942,176966,176929,171345
8,177100,177156,177183,177144,171562
9,177400,177370,177400,177360,171779
3,177610,177584,177617,177576,171996
7,177790,177798,177834,177791,172212
5,177980,178012,178051,178007,172429
6,178240,178226,178269,178223,172646
4,178460,178439,178486,178439,172863
2,178730,178653,178703,178654,173080
10,178910,178867,178920,178870,173297
1,179120,179081,179137,179086,173514
8,179260,179295,179354,179301,173730
3,179510,179509,179572,179517,173947
9,179690,179723,179789,179733,174164
5,179860,179937,180006,179949,174381
7,180170,180151,180223,180164,174598
4,180660,180624,180633,180623,175031
6,180900,180839,180849,180838,175248
10,181030,181054,181066,181054,175465
2,181260,181269,181282,181269,175682
8,181480,181484,181499,181485,175899
1,181730,181699,181715,181700,176116
9,181950,181914,181931,181916,176333
3,182170,182129,182148,182132,176549
7,182340,182344,182364,182347,176766
5,182440,182559,182581,182563,176983
4,182760,182774,182797,182778,177200
6,182960,182989,183013,182994,177417
2,183240,183204,183230,183209,177634
10,183410,183419,183446,183425,177850
1,183660,183634,183663,183641,178067
8,183850,183849,183879,183856,178284
9,184080,184064,184096,184072,178501
7,184320,184279,184312,184287,178718
3,184490,184494,184528,184503,178935
5,184680,184709,184745,184718,179151
6,185210,185157,185153,185140,179585
4,185370,185370,185368,185355,179802
10,185510,185584,185584,185570,180019
2,185720,185797,185800,185785,180236
8,186000,186011,186015,186000,180453
1,186250,186225,186231,186215,180669
7,186460,186438,186447,186430,180886
9,186700,186652,186662,186645,181103
5,186740,186865,186878,186860,181320
3,187100,187079,187094,187075,181537
4,187340,187293,187309,187289,181754
6,187500,187506,187525,187504,181970
10,187740,187720,187741,187719,182187
8,187910,187933,187956,187934,182404
2,188110,188147,188172,188149,182621
7,188360,188361,188388,188364,182838
1,188610,188574,188603,188579,183055
9,188810,188788,188819,188794,183272
3,189030,189001,189035,189009,183488
5,189170,189215,189250,189224,183705
6,189730,189678,189672,189667,184139
4,189960,189892,189888,189882,184356
8,190020,190106,190103,190098,184573
10,190250,190320,190319,190313,184789
7,190560,190534,190534,190528,185006
2,190760,190748,190749,190743,185223
9,191040,190962,190965,190959,185440
1,191200,191176,191180,191174,185657
5,191300,191390,191395,191389,185874
3,191630,191604,191611,191604,186090
6,191800,191818,191826,191820,186307
8,192020,192032,192042,192035,186524
4,192270,192246,192257,192250,186741
10,192450,192460,192472,192465,186958
2,192610,192674,192688,192681,187175
7,192880,192888,192903,192896,187392
1,193140,193102,193118,193111,187608
9,193310,193316,193334,193326,187825
3,193560,193529,193549,193542,188042
5,193750,193743,193765,193757,188259
8,194210,194203,194192,194197,188693
6,194440,194417,194408,194412,188909
10,194600,194631,194623,194626,189126
4,194830,194845,194838,194841,189343
7,195030,195059,195053,195055,189560
2,195250,195273,195269,195270,189777
9,195560,195487,195484,195484,189994
1,195740,195701,195699,195699,190211
5,195890,195915,195914,195914,190427
3,196160,196129,196130,196128,190644
6,196290,196343,196345,196343,190861
8,196560,196557,196560,196557,191078
4,196770,196771,196775,196772,191295
10,196960,196984,196991,196987,191512
7,197210,197198,197206,197201,191728
9,197440,197412,197421,197416,191945
2,197600,197626,197636,197630,192162
5,197810,197840,197852,197845,192379
1,198070,198054,198067,198059,192596
3,198290,198268,198282,198274,192813
8,198750,198716,198703,198699,193246
6,198930,198930,198918,198913,193463
10,199100,199143,199133,199128,193680
4,199260,199356,199348,199343,193897
9,199580,199569,199563,199557,194114
7,199780,199782,199778,199772,194331
5,199910,199995,199993,199987,194547
2,200240,200209,200208,200201,194764
3,200450,200422,200423,200416,194981
1,200670,200635,200638,200631,195198
8,200870,200848,200853,200845,195415
10,201130,201061,201068,201060,195632
6,201250,201274,201283,201275,195848
9,201470,201488,201498,201489,196065
